city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Meknes,Morocco,MA,33.9004,-5.56,697628,8,15,0,405,1,430,61.6,899,12.9,45,139.9,85.9,15.0,1680,58,8.3,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,66.0,42.4
Enugu,Nigeria,NG,6.45,7.5,688862,15,23,0,41,2,82,11.9,253,3.7,5,30.4,219.6,30.0,1929,93,13.5,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,60.0,28.1
Pointe-Noire,Congo (Brazzaville),CG,-4.77,11.88,659084,0,0,0,0,0,0,0.0,1130,17.1,23,53.3,143.0,20.0,1426,0,0.0,38.0,99.0,0,75.6,28.0,1.8,2.0,1.8,21.5,36.0,36.0,14.0,25.5
Ismaïlia,Egypt,EG,30.5903,32.26,656135,1,1,0,4,0,6,0.9,101,1.5,5,17.1,39.4,15.0,470,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,30.0,30.5
Lilongwe,Malawi,MW,-13.9833,33.7833,646750,6,12,0,10,0,33,5.1,283,4.4,6,2.8,48.9,40.0,593,0,0.0,48.0,99.0,0,41.3,12.0,2.3,2.5,2.3,24.2,35.0,35.0,44.0,18.3
Kikwit,Congo (Kinshasa),CD,-5.03,18.85,637736,0,1,0,0,0,1,0.2,90,1.4,1,3.7,1.3,20.0,159,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,12.0,11.6
Bur Said,Egypt,EG,31.26,32.29,623864,3,1,0,3,0,7,1.1,303,4.9,15,54.1,48.4,15.0,733,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,35.0,33.2
Asmara,Eritrea,ER,15.3333,38.9333,620802,1,1,0,7,0,9,1.4,261,4.2,3,3.7,200.4,40.0,1515,0,0.0,28.0,99.0,0,28.3,48.4,1.8,2.0,1.8,16.9,28.0,28.0,20.0,18.1
Luxor,Egypt,EG,25.7,32.65,609248,1,9,0,0,0,10,1.6,101,1.7,5,18.5,70.8,15.0,635,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,32.0,31.5
Constantine,Algeria,DZ,36.36,6.5999,605179,13,103,0,137,0,271,44.8,918,15.2,46,156.3,196.8,15.0,2228,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,45.6
Sohag,Egypt,EG,26.5504,31.7,600000,4,47,0,9,0,60,10.0,404,6.7,20,75.0,431.3,15.0,3128,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,62.0,45.9
El Mansura,Egypt,EG,31.0504,31.38,600000,10,8,0,24,0,44,7.3,1009,16.8,50,187.4,316.3,15.0,3112,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,67.0,49.9
Port Louis,Mauritius,MU,-20.1666,57.5,595491,5,22,0,72,4,120,20.2,1893,31.8,95,251.9,260.0,40.0,3286,219,36.8,78.0,90.0,1,616.2,45.2,3.0,3.3,3.0,36.3,68.0,68.0,80.0,62.2
Abeokuta,Nigeria,NG,7.1604,3.35,593100,7,0,0,0,0,7,1.2,118,2.0,2,16.5,21.8,30.0,405,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,33.0,20.0
Blantyre,Malawi,MW,-15.79,34.9899,584877,30,7,0,7,0,44,7.5,1414,24.2,28,15.6,72.0,40.0,747,0,0.0,48.0,99.0,0,41.3,12.0,2.3,2.5,2.3,24.2,35.0,35.0,52.0,27.3
Kisangani,Congo (Kinshasa),CD,0.52,25.22,578470,0,6,0,1,0,8,1.4,90,1.6,1,4.0,11.7,20.0,207,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,15.0,12.0
Libreville,Gabon,GA,0.3854,9.458,578156,5,162,0,84,3,264,45.7,1128,19.5,23,52.2,269.6,20.0,1976,114,19.7,45.0,99.0,0,253.0,17.3,2.0,2.3,2.0,23.8,48.0,48.0,72.0,36.8
Bouaké,Ivory Coast,CI,7.69,-5.03,567481,0,0,0,0,0,0,0.0,212,3.7,4,23.8,92.7,30.0,832,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,22.3
Uyo,Nigeria,NG,5.008,7.85,554906,2,0,0,13,0,15,2.7,34,0.6,1,5.0,49.9,30.0,471,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,33.0,20.0
Kenitra,Morocco,MA,34.2704,-6.58,551786,1,31,0,296,0,334,60.5,112,2.0,6,22.1,84.4,15.0,670,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,56.0,33.9
Matola,Mozambique,MZ,-25.9696,32.46,543907,2,24,0,4,0,30,5.5,266,4.9,5,6.0,58.2,40.0,567,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,47.0,17.0
Beira,Mozambique,MZ,-19.82,34.87,530604,5,16,0,0,0,21,4.0,665,12.5,13,15.3,41.8,40.0,515,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,40.0,19.9
Blida,Algeria,DZ,36.4203,2.83,511348,5,172,0,169,4,384,75.1,353,6.9,18,71.2,330.0,15.0,2128,226,44.2,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,47.1
Suez,Egypt,EG,30.005,32.5499,508335,3,2,0,6,0,12,2.4,303,6.0,15,66.4,101.8,15.0,931,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,39.0,35.6
